key,base_model,provider,input_price_per_1m,output_price_per_1m,cache_read_price_per_1m,cache_write_price_per_1m,max_input_tokens,max_output_tokens,supports_function_calling,supports_vision,supports_reasoning,supports_prompt_caching,supports_web_search,supports_audio_input,supports_audio_output,supports_video_input,supports_pdf_input,supported_modalities,deprecation_date,source
ai21.j2-mid-v1,j2-mid-v1,bedrock,12.5,12.5,,,8191,8191,,,,,,,,,,,,
ai21.j2-ultra-v1,j2-ultra-v1,bedrock,18.8,18.8,,,8191,8191,,,,,,,,,,,,
ai21.jamba-1-5-large-v1:0,jamba-1-5-large,bedrock,2.0,8.0,,,256000,256000,,,,,,,,,,,,
ai21.jamba-1-5-mini-v1:0,jamba-1-5-mini,bedrock,0.19999999999999998,0.39999999999999997,,,256000,256000,,,,,,,,,,,,
ai21.jamba-instruct-v1:0,jamba-instruct,bedrock,0.5,0.7,,,70000,4096,,,,,,,,,,,,
amazon-nova/nova-lite-v1,nova-lite-v1,amazon_nova,0.06,0.24,,,300000,10000,True,True,,True,,,,,True,,,
amazon-nova/nova-micro-v1,nova-micro-v1,amazon_nova,0.035,0.14,,,128000,10000,True,,,True,,,,,,,,
amazon-nova/nova-premier-v1,nova-premier-v1,amazon_nova,2.5,12.5,,,1000000,10000,True,True,,False,,,,,True,,,
amazon-nova/nova-pro-v1,nova-pro-v1,amazon_nova,0.7999999999999999,3.1999999999999997,,,300000,10000,True,True,,True,,,,,True,,,
amazon.nova-2-lite-v1:0,nova-2-lite,bedrock,0.3,2.5,0.075,,1000000,64000,True,True,True,True,,,,True,True,,,
amazon.nova-2-pro-preview-20251202-v1:0,nova-2-pro,bedrock,2.1875,17.5,0.546875,,1000000,64000,True,True,True,True,,,,True,True,,,
amazon.nova-lite-v1:0,nova-lite,bedrock,0.06,0.24,,,300000,10000,True,True,,True,,,,,True,,,
amazon.nova-micro-v1:0,nova-micro,bedrock,0.035,0.14,,,128000,10000,True,,,True,,,,,,,,
amazon.nova-pro-v1:0,nova-pro,bedrock,0.7999999999999999,3.1999999999999997,,,300000,10000,True,True,,True,,,,,True,,,
amazon.titan-text-express-v1,titan-text-express-v1,bedrock,1.3,1.7,,,42000,8000,,,,,,,,,,,,
amazon.titan-text-lite-v1,titan-text-lite-v1,bedrock,0.3,0.39999999999999997,,,42000,4000,,,,,,,,,,,,
amazon.titan-text-premier-v1:0,titan-text-premier,bedrock,0.5,1.5,,,42000,32000,,,,,,,,,,,,
anthropic.claude-3-5-haiku-20241022-v1:0,claude-3-5-haiku,bedrock,0.7999999999999999,4.0,0.08,1.0,200000,8192,True,,,True,,,,,True,,,
