id,name,creator,creator_country,release_date,model_type,parameters_billions,context_window,max_output_tokens,reasoning,reasoning_tier,selfhostable,input_price_per_1m,output_price_per_1m,blended_price_per_1m,cache_read_price_per_1m,cache_write_price_per_1m,output_tokens_per_sec,time_to_first_token_s,supports_vision,supports_function_calling,supports_web_search,supports_prompt_caching,supports_pdf_input,min_input_price_per_1m,max_input_price_per_1m,min_output_price_per_1m,max_output_price_per_1m,num_free_providers,num_paid_providers,has_batch_pricing,has_priority_pricing,has_free_tier,num_providers,sources,hf_aggregate_score
publicai/alia-40b-instruct-q8-0,alia-40b-instruct-q8-0,publicai,,,,,8192,4096,,,,0,0,,,,,,,True,,,,,,,,1,0,False,False,True,1,bifrost,
ibm/allam-1-13b-instruct,allam-1-13b-instruct,ibm,,,,,8192,8192,,,,1.7999999999999998,1.7999999999999998,,,,,,False,False,,,,1.7999999999999998,1.7999999999999998,1.7999999999999998,1.7999999999999998,0,1,False,False,False,1,bifrost,
allenai/allenai/olmocr-2-7b-1025-fp8,allenai/olmOCR-2-7B-1025-FP8,allenai,,,open,8.3,,,,,,,,,,,,,,,,,,,,,,0,0,False,False,False,0,hf,82.4
swissaiinitiative/apertus-70b-instruct,Apertus 70B Instruct,swissaiinitiative,,2025-09-02,,,8192,4096,,,,0.82,2.92,1.345,,,63.144,1.632,,False,,,,,,,,1,0,False,False,True,1,"aa, bifrost",
swissaiinitiative/apertus-8b-instruct,Apertus 8B Instruct,swissaiinitiative,,2025-09-02,,,8192,4096,,,,0.1,0.2,0.125,,,141.072,2.303,,False,,,,,,,,1,0,False,False,True,1,"aa, bifrost",
publicai/apertus-70b-instruct,apertus-70b-instruct,publicai,,,,,8192,4096,,,,0,0,,,,,,,False,,,,,,,,1,0,False,False,True,1,bifrost,
publicai/apertus-8b-instruct,apertus-8b-instruct,publicai,,,,,8192,4096,,,,0,0,,,,,,,False,,,,,,,,1,0,False,False,True,1,bifrost,
servicenow/apriel-v1-5-15b-thinker,Apriel-v1.5-15B-Thinker,servicenow,,2025-09-30,,,,,,,,0,0,0,,,126.432,0.178,,,,,,,,,,0,0,False,False,False,0,aa,
servicenow/apriel-v1-6-15b-thinker,Apriel-v1.6-15B-Thinker,servicenow,,2025-11-25,,,,,,,,0,0,0,,,135.521,0.248,,,,,,,,,,0,0,False,False,False,0,aa,
arcee-ai/arcee-ai/trinity-large-preview,arcee-ai/Trinity-Large-Preview,arcee-ai,,,open,398.6,,,,,,,,,,,,,,,,,,,,,,0,0,False,False,False,0,hf,75.2
