key,name,company,country,release_date,training_cutoff,reasoning,selfhostable,max_input_tokens,max_output_tokens,best_input_price_per_1m,best_output_price_per_1m,num_vendors,vendors,swe_bench_resolved_pct,swe_bench_cost_per_resolved,skatebench_score,skatebench_cost_per_test,hle_pct
claude-2-0,Claude 2.0,Anthropic,US,,,True,False,,,,,1,AWS Bedrock,,,,,
claude-2-1,Claude 2.1,Anthropic,US,,,True,False,,,,,1,AWS Bedrock,,,,,
claude-3-haiku,Claude 3 Haiku,Anthropic,US,2024-03-07,2023-08,True,False,200000,4096,0.25,1.25,2,"Anthropic API, AWS Bedrock",40.6,,,,
claude-3-opus,Claude 3 Opus,Anthropic,US,2024-02-29,2023-08,True,False,200000,4096,15.0,75.0,1,Anthropic API,15.8,,,,
claude-3-sonnet,Claude 3 Sonnet,Anthropic,US,,,True,False,,,,,1,AWS Bedrock,,,,,
claude-haiku-4-5,Claude Haiku 4.5,Anthropic,US,2025-10-01,2025-07,True,False,200000,64000,1.0,5.0,1,Anthropic API,66.6,0.004968835376876878,,,
claude-instant,Claude Instant,Anthropic,US,,,False,False,,,,,1,AWS Bedrock,,,,,
claude-opus-4,Claude Opus 4,Anthropic,US,2025-05-22,2025-03,True,False,200000,32000,15.0,75.0,1,Anthropic API,79.2,,,,53.1
claude-opus-4-1,Claude Opus 4.1,Anthropic,US,2025-08-05,2025-03,True,False,200000,32000,15.0,75.0,1,Anthropic API,,,,,
claude-opus-4-5,Claude Opus 4.5,Anthropic,US,2025-11-01,2025-03,True,False,200000,64000,5.0,25.0,1,Anthropic API,79.2,,62.857142857142854,0.04204488095238094,
claude-opus-4-6,Claude Opus 4.6,Anthropic,US,2026-02-05,2025-08,True,False,1000000,128000,5.0,25.0,1,Anthropic API,75.6,0.007295273075396826,75.23809523809524,0.013732023809523809,53.1
claude-sonnet-4,Claude Sonnet 4,Anthropic,US,2025-05-14,2025-03,True,False,1000000,64000,3.0,15.0,1,Anthropic API,76.8,,,,49
claude-sonnet-4-5,Claude Sonnet 4.5,Anthropic,US,2025-09-29,2025-03,True,False,200000,64000,3.0,15.0,1,Anthropic API,74.8,,,,
claude-sonnet-4-6,Claude Sonnet 4.6,Anthropic,US,2026-02-17,2026-01,True,False,200000,64000,3.0,15.0,1,Anthropic API,,,69.04761904761905,0.025707428571428555,49
codestral,Codestral,Mistral,FR,2025-08-01,,True,True,32000,8191,1.0,3.0,1,Mistral AI,,,,,
deepseek-chat,DeepSeek Chat,DeepSeek,CN,2024-12-26,,True,True,131072,8192,0.28,0.42,1,DeepSeek API,,,,,
deepseek-coder,DeepSeek Coder,DeepSeek,CN,,,False,True,128000,4096,0.14,0.28,1,DeepSeek API,,,,,
deepseek-r1,DeepSeek R1,DeepSeek,CN,2025-01-20,2024-11,True,True,65536,8192,0.55,2.1900000000000004,2,"DeepSeek API, AWS Bedrock",,,,,
